Word_id,Swahili_word,English_translation
id_v8rz06e6rv31.wav,mbili,two
id_vmbwicdpfn68.wav,tatu,three
id_injlouhxg1hg.wav,ndio,yes
id_gdq23p6xgzya.wav,nne,four
id_lpstklz51zpz.wav,nane,eight
id_xdmrc926jjzo.wav,hapana,no
id_yi4rczw93cmy.wav,nne,four
id_vagr998f6v11.wav,nane,eight
id_2crn2mrqxico.wav,mbili,two
id_rj977o1rxrue.wav,nne,four
id_umbuepm9uafo.wav,sita,six
id_9gkg1o4pjle1.wav,tatu,three
id_qoa7f8xeu9a6.wav,mbili,two
id_i4h4403hmxza.wav,nne,four
id_dsfplbpe1rki.wav,tisa,nine
id_jr15effb0pir.wav,tisa,nine
id_3njxhyz4ieuh.wav,tatu,three
id_l9bm3ad5oe0l.wav,sita,six
id_twhce0u5wcg0.wav,hapana,no
id_9fwf3aocioyf.wav,sita,six
id_9cyou9zspfz0.wav,tisa,nine
id_5cb9ftsyyili.wav,tatu,three
id_24cr50pvhf8o.wav,mbili,two
id_5oqh9t3kjd6p.wav,ndio,yes
id_3komqnffiaet.wav,moja,one
id_41cthw41sj0v.wav,mbili,two
id_lbhxpmz7zdxl.wav,nane,eight
id_onab1gn9vyfo.wav,sita,six
id_giv6yxiwwxsw.wav,nane,eight
id_w52t2zkrpgc5.wav,saba,seven
id_jko03l8gm73t.wav,nane,eight
id_m4ff7onw3fms.wav,mbili,two
id_wg69s96v2760.wav,mbili,two
id_may1gsj7sxac.wav,sita,six
id_dd31f3us2s09.wav,ndio,yes
id_1ueypqi5r0rz.wav,nne,four
id_q84q2q7bq4bw.wav,saba,seven
id_v5fdxzbzn6ub.wav,saba,seven
id_6udcu00kwjsd.wav,moja,one
id_8jht0664lv0p.wav,nane,eight
id_8a21f8glkb0e.wav,tano,five
id_13i0bo3bohuf.wav,tisa,nine
id_so1c9vym5lo2.wav,tisa,nine
id_v5jidecrj9zb.wav,tano,five
id_6lnhwl1tseen.wav,tano,five
id_hmdodllrirqj.wav,nane,eight
id_t8ey9zv3pa4f.wav,tisa,nine
id_9fh4blwgddx8.wav,moja,one
id_v0h1esms6sgt.wav,tano,five
id_lfcurhbchbeb.wav,ndio,yes
id_345mh52fjket.wav,saba,seven
id_e4qje03mbvp8.wav,hapana,no
id_on0ucruv0rqt.wav,nane,eight
id_3ys2g1uk50gb.wav,kumi,ten
id_8gjngqln3d3i.wav,moja,one
id_6wkd8x8kb6y5.wav,tisa,nine
id_hirkpckdk7b2.wav,saba,seven
id_pjjo0i3k6os0.wav,kumi,ten
id_7byz1le3s8tn.wav,saba,seven
id_45x8sv07uxhw.wav,mbili,two
id_sc6zsndp9k36.wav,saba,seven
id_ttax9f0kpx0d.wav,ndio,yes
id_mj461jnd11rn.wav,mbili,two
id_pp2axmpwh7e0.wav,tisa,nine
id_1fn5d1sy5hoy.wav,sita,six
id_crt6lnkcg3wn.wav,kumi,ten
id_eahwk1zr1pun.wav,nane,eight
id_db6irdplascn.wav,ndio,yes
id_m8fqgasaalrx.wav,tisa,nine
id_ir9slbq1gr16.wav,saba,seven
id_95h02wke6ruj.wav,ndio,yes
id_v89zt7l3kfme.wav,kumi,ten
id_hvh9coydoxx9.wav,ndio,yes
id_g2wbrwq80ro7.wav,tisa,nine
id_1ju7bqqkby5n.wav,sita,six
id_m1z78clx7dn5.wav,ndio,yes
id_15k8lkc7x9vj.wav,hapana,no
id_piba0aw4b8e5.wav,ndio,yes
id_sdmmoy0lo2r6.wav,ndio,yes
id_byp380m199nh.wav,moja,one
id_hst0uacjhv0z.wav,nne,four
id_9hem52dsvmdh.wav,mbili,two
id_s4s3nzlnnblh.wav,kumi,ten
id_8iotg6c3yrvz.wav,tisa,nine
id_wcku35q7x7hx.wav,tano,five
id_4lyffxy4mtxg.wav,nne,four
id_ikqrhb9zku8j.wav,tano,five
id_wlqsrpjcgyo8.wav,mbili,two
id_y0gczq07xd87.wav,nne,four
id_75627mkeqas9.wav,sita,six
id_2uuqs2pwdcrg.wav,sita,six
id_6090xr24pzrl.wav,nane,eight
id_54ryxrykpgmk.wav,sita,six
id_eqzok6yvg8rd.wav,nane,eight
id_wlu4pd772elr.wav,moja,one
id_ob68wxulbssc.wav,kumi,ten
id_zlfcanji96h7.wav,tano,five
id_58488x5vhql6.wav,kumi,ten
id_7kxef83vcn3c.wav,ndio,yes
id_6uhocblb2f13.wav,kumi,ten
id_uh8wrfd6an09.wav,kumi,ten
id_9an73fv3g83d.wav,moja,one
id_sos1t3kcvvmf.wav,mbili,two
id_t7zrm8kgebn2.wav,hapana,no
id_bln3iqc57vrx.wav,ndio,yes
id_3v9vnj4ey1ks.wav,tisa,nine
id_qyqj1jczxiji.wav,saba,seven
id_q9rm5mg4jrbe.wav,saba,seven
id_gjoxavdjb938.wav,tano,five
id_z2tnre574wjd.wav,nne,four
id_1hqdop8jr077.wav,tano,five
id_dekjzvqx2muu.wav,sita,six
id_74hva2szczp1.wav,mbili,two
id_kpqbnogotvbl.wav,mbili,two
id_ok38mayxywam.wav,ndio,yes
id_gcxevd7mkmyk.wav,tatu,three
id_6x44g3xxfxqn.wav,kumi,ten
id_o92a5wvy2dto.wav,sita,six
id_frj8pren0uqv.wav,kumi,ten
id_jud80yru7ozc.wav,kumi,ten
id_01v7ycmw6imm.wav,tano,five
id_pwmqp1td6k8w.wav,nane,eight
id_90cs3gcrbvdm.wav,nane,eight
id_lgr966u3pebb.wav,tisa,nine
id_rr1qabm1x27p.wav,tatu,three
id_ox5wkhuv0kzj.wav,tisa,nine
id_9rub0857b757.wav,saba,seven
id_vcmfmh6bmz55.wav,mbili,two
id_qjau1yqiw50z.wav,moja,one
id_0q98zb6cicse.wav,ndio,yes
id_tqioixaz6zap.wav,saba,seven
id_3vnmo4woeq3o.wav,tano,five
id_vt5z9rq4oy5o.wav,sita,six
id_ny3yaiw9k30b.wav,saba,seven
id_ljdlz01pnbbh.wav,saba,seven
id_8vrsyogndaqu.wav,moja,one
id_jdyxgqi86r7x.wav,tano,five
id_1maaphk2zo6r.wav,tatu,three
id_gkzjupd1gsr7.wav,mbili,two
id_muq4ob47z6st.wav,tisa,nine
id_dxeoia0bfpg7.wav,tano,five
id_ycpc7jwr5lpo.wav,kumi,ten
id_gbthfnt4w0ty.wav,saba,seven
id_pwkm53rvdcs8.wav,tisa,nine
id_te7oyrse2zin.wav,ndio,yes
id_lrf0h0g1mj25.wav,mbili,two
id_015rhcvf0g0y.wav,mbili,two
id_mpkun7ncjpq5.wav,ndio,yes
id_xhfms7h6fgbt.wav,ndio,yes
id_gjma0aokd92t.wav,sita,six
id_56m81volv0bp.wav,tatu,three
id_s0l2eqc0e522.wav,nane,eight
id_y0l7vc5uhs8x.wav,kumi,ten
id_q9q0wovsxcum.wav,tano,five
id_syfemfprvnb6.wav,tano,five
id_05okk5z91k29.wav,kumi,ten
id_jkb7ol8fhe2g.wav,tano,five
id_5fz73bcfhvhi.wav,sita,six
id_i9k0a3o4w7db.wav,kumi,ten
id_0g5sc48b7r8w.wav,saba,seven
id_e8ul9vf9y9p9.wav,sita,six
id_clwgq3est1zy.wav,mbili,two
id_1kssnhj05g5f.wav,saba,seven
id_f26rd0c7qh5l.wav,nne,four
id_lfvm75i7hxjc.wav,nane,eight
id_drcdgho36xw4.wav,saba,seven
id_9492e87ffbmc.wav,ndio,yes
id_zm930btj4pw0.wav,kumi,ten
id_pccow9n7eze1.wav,tatu,three
id_s6cm9xfaxt1v.wav,mbili,two
id_1foec7rnfn3q.wav,nne,four
id_ode62ax9rxm7.wav,kumi,ten
id_w4rcv3550arz.wav,hapana,no
id_5hp81dg8be5s.wav,mbili,two
id_bhq93sbm8xah.wav,kumi,ten
id_ylru3nde99bu.wav,tisa,nine
id_hzelabwwanej.wav,nane,eight
id_dv7yhamgq0wo.wav,tatu,three
id_otyapezu5vzc.wav,moja,one
id_r7ue4qd24ylr.wav,mbili,two
id_akrt06xniwwt.wav,nne,four
id_vo9nfsx311w2.wav,nne,four
id_fele9uv6zxj8.wav,nane,eight
id_b13a0tpphg4g.wav,saba,seven
id_5gs9hjwf0nlc.wav,tisa,nine
id_bb66y0viihas.wav,nane,eight
id_5azm8ertofsk.wav,hapana,no
id_bx475p64gffj.wav,tatu,three
id_cb68wjhspcfw.wav,moja,one
id_yo837plt1gmv.wav,ndio,yes
id_tgiav3vin4vn.wav,sita,six
id_tt5gemihii8n.wav,mbili,two
id_uhr1078s9cro.wav,sita,six
id_e7ztggp8fxo1.wav,mbili,two
id_9a1akumeinco.wav,nne,four
id_f44ovneaoaqi.wav,moja,one
id_2m3doy7pq5l7.wav,kumi,ten
id_j3uh8xdpwgm1.wav,tisa,nine
id_s0m1m50njt88.wav,ndio,yes
id_4aozzgfhs6og.wav,hapana,no
id_ytan54us1bg1.wav,tano,five
id_pk7poaz80pyu.wav,nane,eight
id_bsnarmple4cd.wav,saba,seven
id_8mg7qdm9qdox.wav,ndio,yes
id_8kcyhec4kfvb.wav,moja,one
id_iqglqsjaogo0.wav,tano,five
id_yqnrxkvuoirc.wav,tisa,nine
id_h6dyvojfegv6.wav,hapana,no
id_xxct1hhne0p0.wav,ndio,yes
id_uoxfh9q2v0fk.wav,nne,four
id_dcp33feobjf6.wav,nane,eight
id_2ei1g4i35afh.wav,hapana,no
id_oi5ddptg1ckt.wav,moja,one
id_ohsr7rwo6b7x.wav,ndio,yes
id_vk7rcglyfm35.wav,mbili,two
id_9m9azhmysge8.wav,hapana,no
id_wez0d5p7o7nw.wav,saba,seven
id_d4aggzm19xp1.wav,nne,four
id_1tpz9rx2d27g.wav,moja,one
id_6owrqt6wtx5m.wav,sita,six
id_3nd4wdwtvdyd.wav,mbili,two
id_x9fn2dgmlhci.wav,tatu,three
id_fxywi03j4a6i.wav,moja,one
id_rcxfau5y6jc7.wav,saba,seven
id_g5wlx0re0k3g.wav,saba,seven
id_xf02grhew135.wav,kumi,ten
id_q8pawbfbipzz.wav,kumi,ten
id_403k3cg33626.wav,nne,four
id_16hjj117dhj3.wav,nne,four
id_he5pdekacsqq.wav,kumi,ten
id_rqb3v3beovf7.wav,ndio,yes
id_z9fuax5ks3go.wav,sita,six
id_2hc592b81qap.wav,saba,seven
id_p0xzrytwlh1k.wav,tano,five
id_x8d7cnlq6vv7.wav,ndio,yes
id_e6zny2bnoclv.wav,nane,eight
id_9h4yvld84c15.wav,moja,one
id_tuptx3hjv00w.wav,moja,one
id_wbzqm829h2ir.wav,nane,eight
id_uvijab3h4pfp.wav,mbili,two
id_e48h1k2imhcu.wav,sita,six
id_b90xbcdf9dqj.wav,hapana,no
id_iwl8rzhslz8d.wav,nne,four
id_ckiqpghhkvfc.wav,sita,six
id_6kjj6t5dz4s4.wav,hapana,no
id_i2xuwmee0vqw.wav,nne,four
id_ljz9n71f45ec.wav,saba,seven
id_fqk0h15nlb40.wav,sita,six
id_ecd39gerr49y.wav,kumi,ten
id_ymlcr4kf124h.wav,tatu,three
id_pub7jdwi5as0.wav,mbili,two
id_ptfoyzzcqq6w.wav,moja,one
id_hd3lumujpdpd.wav,ndio,yes
id_mcmfpml75fxs.wav,sita,six
id_jv6j42bjy72h.wav,saba,seven
id_w45c80rkvi2h.wav,mbili,two
id_lgt649tjg0gr.wav,moja,one
id_0gap2cnvxldz.wav,hapana,no
id_bn2k6z1gdom4.wav,moja,one
id_3c93skhlwx4r.wav,nane,eight
id_9la5u1m1chsr.wav,saba,seven
id_83ejon715fgi.wav,saba,seven
id_q1goc7ccwym3.wav,saba,seven
id_u8zgolwmag70.wav,kumi,ten
id_occvnmu342oh.wav,nne,four
id_vp44gv1hygmh.wav,saba,seven
id_rv49f04idek5.wav,tisa,nine
id_tsumlqgjrphf.wav,moja,one
id_ifdbnlzhtzqo.wav,tisa,nine
id_ibj5crkxsfwk.wav,moja,one
id_wf5ue13h9my7.wav,ndio,yes
id_ef5nru3qmc8j.wav,hapana,no
id_9t3i4nc9z2yw.wav,saba,seven
id_nei5husv4unt.wav,mbili,two
id_91bmjlbx63wm.wav,kumi,ten
id_mawvgiqkg5fu.wav,tano,five
id_6421zw0t0aq6.wav,tatu,three
id_w5bdg02qe8b5.wav,tano,five
id_bd7i6m10vkbb.wav,nne,four
id_hlk2jd7p534s.wav,nne,four
id_fl1nx6m6hz0f.wav,saba,seven
id_53r0qxsng1dt.wav,saba,seven
id_wvylssogi6hf.wav,nne,four
id_a2davyfjue9s.wav,tisa,nine
id_l9a53er9lgfc.wav,nane,eight
id_rd39hay6u7le.wav,saba,seven
id_79f6o7fw3qg6.wav,mbili,two
id_36yv5tnmda47.wav,hapana,no
id_w0mmdjwwj5fm.wav,ndio,yes
id_6jzoj99e18kx.wav,tisa,nine
id_h9y09ew0ur5p.wav,moja,one
id_7yasp4h37xt0.wav,tatu,three
id_9veklpx04a0w.wav,saba,seven
id_pmsvitbxfq4x.wav,tano,five
id_edw0zopujz1g.wav,nane,eight
id_y3h9r1e5pz0p.wav,tano,five
id_mfup5yifi6b5.wav,nane,eight
id_te0qxia3npv6.wav,tisa,nine
id_2jn14xf83r98.wav,hapana,no
id_fzjww5hpbusy.wav,sita,six
id_954vvpbvtn4s.wav,moja,one
id_cw566zi9ut9x.wav,sita,six
id_kh4dx5b6vh1k.wav,saba,seven
id_g9ehlqzxcb9p.wav,mbili,two
id_gu09mvqnzv18.wav,nane,eight
id_yhab5phwm4kv.wav,sita,six
id_ydxyx1phm70t.wav,nane,eight
id_cp7zw1pep2zj.wav,kumi,ten
id_yo0fjz1tsib4.wav,tano,five
id_ym1bdxr888nr.wav,tatu,three
id_lu72023pt7tw.wav,ndio,yes
id_0mnfgv0d5pdt.wav,moja,one
id_66heh9ihea4l.wav,ndio,yes
id_43hskuczqt8f.wav,kumi,ten
id_9hejg0blciu3.wav,nane,eight
id_c180vq2vofuy.wav,tisa,nine
id_q78n1x8g08o3.wav,nne,four
id_9a75rmdtjge4.wav,sita,six
id_ixb9ds8r35uo.wav,nane,eight
id_puh6xvv68eo3.wav,hapana,no
id_i26ny0vtfqmx.wav,sita,six
id_fl5q50ap00zu.wav,sita,six
id_i7bhjngq0udn.wav,moja,one
id_czwf1qyxy71g.wav,moja,one
id_5pe0ig9camtz.wav,nne,four
